"trial_type","trial_index","time_elapsed","internal_node_id","value","metadata","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","low_quality","rt","stimulus","response","button_pressed","island_rt","island_response","boat_rt","boat_response","boat","reward","island_key","island","boat_key","reward_probabilities","responses","num_errors","view_history"
"sailing-trial","98","661335","0.0-11.0-63.0","","","","false","","","","","","","","","","null","","1109.3999999999069","","3","0","null","null","arrowup","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","99","665154","0.0-11.0-64.0","","","","false","","","","","","","","","","550.6999999999534","","103.0999999998603","","0","1","arrowleft","0","arrowleft","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","100","668687","0.0-11.0-65.0","","","","false","","","","","","","","","","null","","1625.1999999999534","","0","1","null","null","arrowup","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","101","672237","0.0-11.0-66.0","","","","false","","","","","","","","","","537.6999999999534","","127.5","","0","1","arrowleft","0","arrowleft","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","102","676192","0.0-11.0-67.0","","","","false","","","","","","","","","","null","","994.8999999999069","","0","0","null","null","arrowup","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","103","680989","0.0-11.0-68.0","","","","false","","","","","","","","","","902.8999999999069","","1008.5999999998603","","0","1","arrowleft","0","arrowleft","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","104","683907","0.0-11.0-69.0","","","","false","","","","","","","","","","null","","978.2000000001863","","2","1","null","null","arrowup","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","105","687824","0.0-11.0-70.0","","","","false","","","","","","","","","","542.1999999999534","","548","","0","1","arrowleft","0","arrowleft","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","106","691658","0.0-11.0-71.0","","","","false","","","","","","","","","","null","","1585.0999999998603","","2","1","null","null","arrowup","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","107","696209","0.0-11.0-72.0","","","","false","","","","","","","","","","515.5","","1173.1999999999534","","0","1","arrowleft","0","arrowleft","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","108","699420","0.0-11.0-73.0","","","","false","","","","","","","","","","null","","1852.5","","1","0","null","null","arrowup","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","109","703626","0.0-11.0-74.0","","","","false","","","","","","","","","","647.8000000000466","","680.8000000000466","","0","1","arrowleft","0","arrowleft","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","110","706693","0.0-11.0-75.0","","","","false","","","","","","","","","","null","","1796","","1","0","null","null","arrowup","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","111","710194","0.0-11.0-76.0","","","","false","","","","","","","","","","452.5999999998603","","112.19999999995343","","0","1","arrowleft","0","arrowleft","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","112","713245","0.0-11.0-77.0","","","","false","","","","","","","","","","null","","1247.6999999999534","","0","1","null","null","arrowup","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","113","717096","0.0-11.0-78.0","","","","false","","","","","","","","","","554.5","","442","","0","1","arrowleft","0","arrowleft","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","114","720597","0.0-11.0-79.0","","","","false","","","","","","","","","","null","","1730.5999999998603","","1","1","null","null","arrowup","[0.85,0.15,0.675,0.325]","","",""
"sailing-trial","115","724147","0.0-11.0-80.0","","","","false","","","","","","","","","","475.30000000004657","","287.60000000009313","","0","1","arrowleft","0","arrowleft","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","116","727102","0.0-11.0-81.0","","","","false","","","","","","","","","","null","","1445.1999999999534","","3","0","null","null","arrowup","[0.675,0.325,0.85,0.15]","","",""
"sailing-trial","117","730143","0.0-11.0-82.0","","","","false","","","","","","","","","","461.30000000004657","","256.0999999998603","","0","0","arrowleft","0","arrowleft","[0.675,0.325,0.85,0.15]","","",""
