,subject_id,block_condition,reval_score,age,categorical_age,block_order,environment,rest,second_stage_test,last_10_accuracy
120,8171,Control,0.0,10.58,Children,2.0,ocean,No Rest,0.875,1.0
121,8175,Control,0.0,11.64,Children,2.0,canyon,No Rest,0.5,1.0
122,8191,Control,0.0,15.44,Adolescents,2.0,ocean,No Rest,1.0,1.0
123,8200,Control,0.5,19.77,Adults,2.0,canyon,No Rest,0.125,1.0
124,8201,Control,0.0,19.34,Adults,2.0,canyon,No Rest,1.0,1.0
125,8210,Control,0.0,22.47,Adults,1.0,canyon,No Rest,1.0,1.0
126,8211,Control,0.75,22.45,Adults,1.0,canyon,No Rest,1.0,1.0
127,8217,Control,0.0,13.6,Adolescents,2.0,canyon,No Rest,0.5,1.0
128,8320,Control,0.5,12.56,Children,1.0,canyon,No Rest,1.0,1.0
129,8322,Control,0.0,12.95,Children,1.0,ocean,No Rest,1.0,1.0
130,8324,Control,0.0,12.68,Children,2.0,ocean,No Rest,1.0,1.0
131,8325,Control,0.25,12.22,Children,2.0,canyon,No Rest,0.875,1.0
132,8338,Control,0.0,14.02,Adolescents,1.0,canyon,No Rest,1.0,1.0
133,8357,Control,0.0,18.82,Adults,2.0,canyon,No Rest,0.875,1.0
134,8359,Control,0.0,19.52,Adults,1.0,ocean,No Rest,1.0,1.0
135,8365,Control,0.5,20.93,Adults,2.0,ocean,No Rest,1.0,1.0
136,8367,Control,0.0,20.48,Adults,2.0,ocean,No Rest,1.0,1.0
137,8368,Control,0.0,20.06,Adults,1.0,canyon,No Rest,1.0,1.0
138,8377,Control,0.0,21.47,Adults,1.0,canyon,No Rest,1.0,1.0
139,8388,Control,0.25,8.91,Children,2.0,ocean,No Rest,1.0,1.0
140,8392,Control,0.0,11.08,Children,1.0,canyon,No Rest,1.0,1.0
141,8403,Control,0.0,14.9,Adolescents,1.0,ocean,No Rest,1.0,1.0
142,8423,Control,0.0,9.32,Children,2.0,ocean,No Rest,0.875,1.0
143,8427,Control,0.0,11.61,Children,1.0,canyon,No Rest,1.0,1.0
144,8468,Control,0.0,20.64,Adults,2.0,canyon,No Rest,1.0,1.0
145,8469,Control,0.75,20.88,Adults,1.0,ocean,No Rest,1.0,0.9
146,8474,Control,0.9,20.67,Adults,1.0,ocean,No Rest,1.0,0.9
147,8551,Control,0.25,8.24,Children,1.0,canyon,No Rest,0.875,1.0
148,8558,Control,0.25,9.01,Children,2.0,canyon,No Rest,1.0,1.0
149,8559,Control,0.5,10.18,Children,2.0,ocean,No Rest,0.875,1.0
