"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","browser_interaction","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","audioStim","slider_start","answer","error","numberMissed","duration","trial_num","condition","order","bonus"
"revaluation","190","978528","0.0-4.0-2.0-0.24","pilot_wm_v1","65a4333efc75f965e7fc0cb5","2","null","null","true","","","false","","","","[605.6000000238419,356.4000000357628]","./assets/img/ocean/memory/6.jpg","[""ArrowDown"",""ArrowRight""]","value training","ocean","30","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","true","ArrowDown,ArrowRight","false","","","","","","","48","revaluation","1",""
"html-keyboard-response","191","979030","0.0-4.0-2.0-1.24","pilot_wm_v1","65a4333efc75f965e7fc0cb5","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","49","","",""
"revaluation","192","985045","0.0-4.0-2.0-0.25","pilot_wm_v1","65a4333efc75f965e7fc0cb5","2","null","null","true","","","false","","","","[518.5,387.80000001192093]","./assets/img/ocean/memory/11.jpg","[""ArrowDown"",""ArrowRight""]","value training","ocean","30","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","true","ArrowDown,ArrowRight","false","","","","","","","50","revaluation","1",""
"html-keyboard-response","193","985547","0.0-4.0-2.0-1.25","pilot_wm_v1","65a4333efc75f965e7fc0cb5","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","51","","",""
"revaluation","194","989553","0.0-4.0-2.0-0.26","pilot_wm_v1","65a4333efc75f965e7fc0cb5","2","null","null","true","","","false","","","","[1169.4000000357628]","./assets/img/ocean/catch/6.jpg","[""spaceBar""]","value training","ocean","0","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","true","spaceBar","true","","","","","","","52","revaluation","1",""
"html-keyboard-response","195","990055","0.0-4.0-2.0-1.26","pilot_wm_v1","65a4333efc75f965e7fc0cb5","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","53","","",""
"revaluation","196","996060","0.0-4.0-2.0-0.27","pilot_wm_v1","65a4333efc75f965e7fc0cb5","2","null","null","true","","","false","","","","[886.7999999523163,496.10000002384186]","./assets/img/ocean/memory/27.jpg","[""ArrowDown"",""ArrowRight""]","value training","ocean","30","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","true","ArrowDown,ArrowRight","false","","","","","","","54","revaluation","1",""
"html-keyboard-response","197","996562","0.0-4.0-2.0-1.27","pilot_wm_v1","65a4333efc75f965e7fc0cb5","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","55","","",""
"revaluation","198","1002574","0.0-4.0-2.0-0.28","pilot_wm_v1","65a4333efc75f965e7fc0cb5","2","null","null","true","","","false","","","","[714.6000000238419,355.89999997615814]","./assets/img/ocean/memory/23.jpg","[""ArrowDown"",""ArrowRight""]","value training","ocean","30","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","true","ArrowDown,ArrowRight","false","","","","","","","56","revaluation","1",""
"html-keyboard-response","199","1003081","0.0-4.0-2.0-1.28","pilot_wm_v1","65a4333efc75f965e7fc0cb5","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","57","","",""
"revaluation","200","1009089","0.0-4.0-2.0-0.29","pilot_wm_v1","65a4333efc75f965e7fc0cb5","2","null","null","true","","","false","","","","[994.6999999880791,593.1999999880791]","./assets/img/ocean/memory/5.jpg","[""ArrowDown"",""ArrowRight""]","value training","ocean","30","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","true","ArrowDown,ArrowRight","false","","","","","","","58","revaluation","1",""
"html-keyboard-response","201","1009601","0.0-4.0-2.0-1.29","pilot_wm_v1","65a4333efc75f965e7fc0cb5","2","null","null","true","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","59","","",""
"revaluation","202","1015606","0.0-4.0-2.0-0.30","pilot_wm_v1","65a4333efc75f965e7fc0cb5","2","null","null","true","","","false","","","","[448.5999999642372,465.9000000357628]","./assets/img/ocean/memory/37.jpg","[""ArrowDown"",""ArrowRight""]","value training","ocean","30","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","true","ArrowDown,ArrowRight","false","","","","","","","60","revaluation","1",""
