"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","value","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","audioStim","slider_start","answer","error","numberMissed","duration","trial_num","condition","order","bonus"
"html-keyboard-response","121","657574","0.0-4.0-15.0-12.0-1.1","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","","","",""
"learning-instructions","122","663387","0.0-4.0-16.0-0.0","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","1246","<p> Before you start, we're going to ask you a few questions about how the game works. </p>","","instructions","","","","","","","","","","","","","","","",""
"comp-q","123","670955","0.0-4.0-17.0-0.0-0.0","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","1257","<p> <b> True or False? </b> </p>
            <p> There can be 50 pieces of treasure in a given animal's chest. </p>","0","comp_question","","","","false","","","","","","","","","","","",""
"comp-q","124","678570","0.0-4.0-17.0-0.0-1.0","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","1104","<p> <b>Incorrect.</b> The amount of treasure in each chest can range from 0 to 40 pieces. </p>","0","comp_answer","","","","","","","","","","","","","","","",""
"comp-q","125","684913","0.0-4.0-17.0-0.1-0.1","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","784","<p> <b> True or False? </b> </p>
            <p> There can be 50 pieces of treasure in a given animal's chest. </p>","1","comp_question","","","","true","","","","","","","","","","","",""
"comp-q","126","693711","0.0-4.0-17.0-0.1-1.1","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","1422","<p> <b> That's right! </b> The amount of treasure in each chest can range from 0 to 40 pieces. </p>","0","comp_answer","","","","","","","","","","","","","","","",""
"comp-q","127","701535","0.0-4.0-17.0-0.2-0.2","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","726","<p> <b> True or False? </b> </p><p> In this game, all animals have the same amount of treasure in their left and right chests. </p>","1","comp_question","","","","true","","","","","","","","","","","",""
"comp-q","128","708181","0.0-4.0-17.0-0.2-1.2","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","1434.0000000001164","<p> <b> That's right! </b> Animals have different amounts of treasure in their treasure chests. </p>","0","comp_answer","","","","","","","","","","","","","","","",""
"comp-q","129","715747","0.0-4.0-17.0-0.3-0.3","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","957","<p> <b> True or False? </b> </p><p> The same animal will always be there if you go up in the same place. </p>","1","comp_question","","","","false","","","","","","","","","","","",""
"comp-q","130","722912","0.0-4.0-17.0-0.3-1.3","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","879.9999999998836","<p> <b>Incorrect.</b> One animal lives in the upper part and one lives in the lower part of every place. </p>","0","comp_answer","","","","","","","","","","","","","","","",""
"comp-q","131","729444","0.0-4.0-17.0-0.4-0.4","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","709.9999999998836","<p> <b> True or False? </b> </p><p> The same animal will always be there if you go up in the same place. </p>","0","comp_question","","","","true","","","","","","","","","","","",""
"comp-q","132","736701","0.0-4.0-17.0-0.4-1.4","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","829","<p> <b> That's right! </b> One animal lives in the upper part and one lives in the lower part of every place. </p>","0","comp_answer","","","","","","","","","","","","","","","",""
"comp-q","133","743583","0.0-4.0-17.0-0.5-0.5","pilot_wm_v1","65f647c74af96460db093800","4","null","null","true","","","","","","","","663","<p> <b> True or False? </b> </p><p> If you see a different picture, it means you are in a new place. </p>","1","comp_question","","","","true","","","","","","","","","","","",""
