,subject_id,block_condition,reval_score,accuracy,age,categorical_age,block_order,environment,rest,second_stage_test,last_10_accuracy
123,7110,Control,0.0,1.0,8.16,Children,1.0,canyon,Rest,1.0,1.0
124,7111,Control,0.0,1.0,8.49,Children,1.0,canyon,Rest,0.875,1.0
125,7113,Control,0.0,1.0,8.41,Children,2.0,ocean,Rest,1.0,1.0
126,7114,Control,0.0,1.0,8.51,Children,1.0,ocean,Rest,0.875,1.0
127,7120,Control,0.0,1.0,8.72,Children,2.0,canyon,Rest,0.875,1.0
128,7123,Control,0.0,1.0,8.44,Children,1.0,ocean,Rest,0.5,1.0
129,7131,Control,0.0,1.0,9.36,Children,1.0,ocean,Rest,1.0,1.0
130,7137,Control,0.0,1.0,9.98,Children,2.0,canyon,Rest,1.0,1.0
131,7144,Control,0.0,1.0,9.21,Children,2.0,canyon,Rest,1.0,1.0
132,7277,Control,0.0,1.0,9.85,Children,2.0,canyon,Rest,0.5,1.0
133,7279,Control,0.25,0.75,10.41,Children,1.0,ocean,Rest,0.875,1.0
134,7281,Control,0.0,1.0,10.14,Children,1.0,canyon,Rest,0.875,1.0
135,7283,Control,0.0,1.0,10.77,Children,1.0,canyon,Rest,1.0,1.0
136,7285,Control,0.0,1.0,10.18,Children,1.0,ocean,Rest,1.0,1.0
137,7289,Control,0.0,1.0,10.91,Children,2.0,canyon,Rest,0.875,1.0
138,7292,Control,0.0,1.0,10.72,Children,1.0,ocean,Rest,1.0,1.0
139,7293,Control,0.5,0.5,10.88,Children,2.0,canyon,Rest,1.0,1.0
140,7299,Control,0.0,1.0,11.88,Children,1.0,ocean,Rest,1.0,1.0
141,7300,Control,0.050000000000000044,0.75,11.97,Children,1.0,canyon,Rest,1.0,0.7
142,7301,Control,0.0,1.0,11.83,Children,1.0,ocean,Rest,1.0,1.0
143,7305,Control,0.0,1.0,11.24,Children,2.0,canyon,Rest,1.0,1.0
144,7306,Control,1.0,0.0,11.54,Children,2.0,ocean,Rest,0.625,1.0
145,7307,Control,0.0,1.0,11.48,Children,1.0,ocean,Rest,1.0,1.0
146,7313,Control,0.5,0.5,11.82,Children,2.0,ocean,Rest,1.0,1.0
147,7315,Control,0.0,1.0,12.99,Children,2.0,canyon,Rest,1.0,1.0
148,7317,Control,0.0,1.0,12.25,Children,1.0,ocean,Rest,1.0,1.0
149,7320,Control,0.5,0.5,12.73,Children,1.0,canyon,Rest,1.0,1.0
150,7321,Control,0.0,1.0,12.14,Children,1.0,ocean,Rest,1.0,1.0
151,7323,Control,0.5,0.5,12.82,Children,2.0,canyon,Rest,0.875,1.0
152,7327,Control,0.0,1.0,12.72,Children,1.0,canyon,Rest,1.0,1.0
