"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"html-keyboard-response","529","1785274","0.0-5.0-4.0-1.20","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","49","","",""
"memory-trial","530","1789071","0.0-5.0-4.0-0.21","spark_pilot_norest","8205","6","20","Female","","false","","","","","2795","./assets/img/canyon/memory/11.jpg","maybe_new","memory","","0","","false","","","","","50","3","old",""
"html-keyboard-response","531","1789573","0.0-5.0-4.0-1.21","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","51","","",""
"memory-trial","532","1792882","0.0-5.0-4.0-0.22","spark_pilot_norest","8205","6","20","Female","","false","","","","","2306","./assets/img/ocean/memory/34.jpg","maybe_old","memory","","10","","true","","","","","52","2","old",""
"html-keyboard-response","533","1793384","0.0-5.0-4.0-1.22","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","53","","",""
"memory-trial","534","1797012","0.0-5.0-4.0-0.23","spark_pilot_norest","8205","6","20","Female","","false","","","","","2626","./assets/img/ocean/memory/40.jpg","definitely_new","memory","","0","","false","","","","","54","4","old",""
"html-keyboard-response","535","1797514","0.0-5.0-4.0-1.23","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","55","","",""
"memory-trial","536","1800423","0.0-5.0-4.0-0.24","spark_pilot_norest","8205","6","20","Female","","false","","","","","1906","./assets/img/ocean/memory/33.jpg","definitely_old","memory","","10","","true","","","","","56","1","old",""
"html-keyboard-response","537","1800926","0.0-5.0-4.0-1.24","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","57","","",""
"memory-trial","538","1803683","0.0-5.0-4.0-0.25","spark_pilot_norest","8205","6","20","Female","","false","","","","","1755","./assets/img/canyon/memory/10.jpg","definitely_new","memory","","0","","false","","","","","58","4","old",""
"html-keyboard-response","539","1804185","0.0-5.0-4.0-1.25","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","59","","",""
"memory-trial","540","1807654","0.0-5.0-4.0-0.26","spark_pilot_norest","8205","6","20","Female","","false","","","","","2466","./assets/img/canyon/memory/36.jpg","maybe_new","memory","","10","","true","","","","","60","3","new",""
"html-keyboard-response","541","1808156","0.0-5.0-4.0-1.26","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","61","","",""
"memory-trial","542","1810542","0.0-5.0-4.0-0.27","spark_pilot_norest","8205","6","20","Female","","false","","","","","1383","./assets/img/canyon/memory/5.jpg","definitely_new","memory","","10","","true","","","","","62","4","new",""
"html-keyboard-response","543","1811044","0.0-5.0-4.0-1.27","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","63","","",""
"memory-trial","544","1815712","0.0-5.0-4.0-0.28","spark_pilot_norest","8205","6","20","Female","","false","","","","","3665","./assets/img/canyon/memory/27.jpg","maybe_new","memory","","0","","false","","","","","64","3","old",""
"html-keyboard-response","545","1816215","0.0-5.0-4.0-1.28","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","65","","",""
"memory-trial","546","1818963","0.0-5.0-4.0-0.29","spark_pilot_norest","8205","6","20","Female","","false","","","","","1744","./assets/img/canyon/memory/4.jpg","definitely_new","memory","","10","","true","","","","","66","4","new",""
