"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","value","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"revaluation","402","1614073","0.0-5.0-4.1-0.18","spark_pilot_norest","9154","4","14","Female","","false","","","","","","[1616]","./assets/img/canyon/animals/lion.jpg","[""ArrowRight""]","revaluation","canyon","10","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","false","ArrowUp,ArrowRight","","original","2","0","","",""
"html-keyboard-response","403","1614576","0.0-5.0-4.1-1.18","spark_pilot_norest","9154","4","14","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","1","","",""
"revaluation","404","1618581","0.0-5.0-4.1-0.19","spark_pilot_norest","9154","4","14","Female","","false","","","","","","[998.0000000002328]","./assets/img/canyon/animals/giraffe.jpg","[""ArrowRight""]","revaluation","canyon","30","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","true","ArrowDown,ArrowRight","","original","2","2","","",""
"html-keyboard-response","405","1619083","0.0-5.0-4.1-1.19","spark_pilot_norest","9154","4","14","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","3","","",""
"revaluation","406","1623087","0.0-5.0-4.1-0.20","spark_pilot_norest","9154","4","14","Female","","false","","","","","","[514.9999999997672]","./assets/img/canyon/animals/lion.jpg","[""ArrowLeft""]","revaluation","canyon","23","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","true","ArrowUp,ArrowLeft","","original","2","4","","",""
"html-keyboard-response","407","1623589","0.0-5.0-4.1-1.20","spark_pilot_norest","9154","4","14","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","5","","",""
"revaluation","408","1627591","0.0-5.0-4.1-0.21","spark_pilot_norest","9154","4","14","Female","","false","","","","","","[713]","./assets/img/canyon/animals/giraffe.jpg","[""ArrowRight""]","revaluation","canyon","30","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","true","ArrowDown,ArrowRight","","original","2","6","","",""
"html-keyboard-response","409","1628093","0.0-5.0-4.1-1.21","spark_pilot_norest","9154","4","14","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","7","","",""
"revaluation","410","1632098","0.0-5.0-4.1-0.22","spark_pilot_norest","9154","4","14","Female","","false","","","","","","[1448]","./assets/img/canyon/animals/lion.jpg","[""ArrowRight""]","revaluation","canyon","10","{""ArrowUp,ArrowLeft"":23,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":30}","false","ArrowUp,ArrowRight","","original","2","8","","",""
"html-keyboard-response","411","1632600","0.0-5.0-4.1-1.22","spark_pilot_norest","9154","4","14","Female","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","9","","",""
